Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1664743441803227138,@catturd2 @AOCpress I hope it does come back. Was super funny ??,Elon Musk,elonmusk,2023-06-02T21:19:00.000Z,Fri Jun 02 21:19:00 +0000 2023,1736,134,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,2,,,,,
1664742794135470083,https://t.co/RcSSEN38FI,Elon Musk,elonmusk,2023-06-02T21:16:26.000Z,Fri Jun 02 21:16:26 +0000 2023,22106,2155,zxx,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Tweet,,0,0,photo,https://pbs.twimg.com/media/Fxpav4lXwAUOjyI.jpg,,,
1664742732462432258,@NathanLands ??,Elon Musk,elonmusk,2023-06-02T21:16:11.000Z,Fri Jun 02 21:16:11 +0000 2023,281,12,qme,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664739692158554112,"@realDailyWire I’m tempted to say that this will drive viewership of your movie, but … no one watches CNN lol",Elon Musk,elonmusk,2023-06-02T21:04:06.000Z,Fri Jun 02 21:04:06 +0000 2023,18813,1826,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664735019716288515,"RT @SawyerMerritt : BREAKING: @Tesla says ALL new Model 3 vehicles in the US now qualify for the full $7,500 EV tax credit, meaning the Model 3 now starts at $32,740 (with incentives). In some states, you can get it for under $30k.

Before, the RWD and Long Range versions only qualified for $3,750. https://t.co/6K3aW60vse",Elon Musk,elonmusk,2023-06-02T20:45:32.000Z,Fri Jun 02 20:45:32 +0000 2023,0,0,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Retweet,,0,1,photo,https://pbs.twimg.com/media/FxpIRJkWwAELy1m.jpg,,,
1664728405374369792,@ZubyMusic Thanks :),Elon Musk,elonmusk,2023-06-02T20:19:15.000Z,Fri Jun 02 20:19:15 +0000 2023,5439,213,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664728279293542401,"RT @Starlink : Starlink set an altitude and speed record for use in-flight during Starship’s first flight test, providing connectivity at 123,600+ feet and while traveling at Mach 1.7! ????? https://t.co/A51d7RJLCR",Elon Musk,elonmusk,2023-06-02T20:18:45.000Z,Fri Jun 02 20:18:45 +0000 2023,0,0,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Retweet,,0,0,photo,https://pbs.twimg.com/media/FxpDVCQaMAAoAvt.jpg,,,
1664718550076911618,@ExplainThisBob ??,Elon Musk,elonmusk,2023-06-02T19:40:05.000Z,Fri Jun 02 19:40:05 +0000 2023,1464,160,qme,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664717551815852033,@realDailyWire @MattWalshBlog World Champion Streisand Effect,Elon Musk,elonmusk,2023-06-02T19:36:07.000Z,Fri Jun 02 19:36:07 +0000 2023,6442,564,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,2,,,,,
1664715412599193601,@TitterDaily What are they talking about?,Elon Musk,elonmusk,2023-06-02T19:27:37.000Z,Fri Jun 02 19:27:37 +0000 2023,19777,1206,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664676102931992577,@damonimani Not me or X/Twitter. Others are paying to promote it.,Elon Musk,elonmusk,2023-06-02T16:51:25.000Z,Fri Jun 02 16:51:25 +0000 2023,8128,476,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664637044549726210,Let that sink in,Elon Musk,elonmusk,2023-06-02T14:16:13.000Z,Fri Jun 02 14:16:13 +0000 2023,165928,47685,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Tweet,,0,0,,,,,
1664635380296032257,@cb_doge Yes,Elon Musk,elonmusk,2023-06-02T14:09:36.000Z,Fri Jun 02 14:09:36 +0000 2023,3402,201,und,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664630204520595457,@NvrBackDown24 @RonDeSantis Wow,Elon Musk,elonmusk,2023-06-02T13:49:02.000Z,Fri Jun 02 13:49:02 +0000 2023,2450,167,und,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,2,,,,,
1664629774336118787,@teslaownersSV Game changer,Elon Musk,elonmusk,2023-06-02T13:47:20.000Z,Fri Jun 02 13:47:20 +0000 2023,2476,165,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664627982638407687,X,Elon Musk,elonmusk,2023-06-02T13:40:13.000Z,Fri Jun 02 13:40:13 +0000 2023,108700,8861,qst,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Tweet,,0,0,,,,,
1664625849516040194,@EndWokeness !!,Elon Musk,elonmusk,2023-06-02T13:31:44.000Z,Fri Jun 02 13:31:44 +0000 2023,4756,337,qam,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664624973372071937,@zerohedge If only someone had warned us …,Elon Musk,elonmusk,2023-06-02T13:28:15.000Z,Fri Jun 02 13:28:15 +0000 2023,8844,687,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664624430637621248,@RobertKennedyJr @instagram Would you like to do a Spaces discussion with me next week?,Elon Musk,elonmusk,2023-06-02T13:26:06.000Z,Fri Jun 02 13:26:06 +0000 2023,54531,4190,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,2,,,,,
1664624015602769920,@dbongino !!,Elon Musk,elonmusk,2023-06-02T13:24:27.000Z,Fri Jun 02 13:24:27 +0000 2023,4384,376,qam,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664622574830235648,@theLGBgroup Totally agree,Elon Musk,elonmusk,2023-06-02T13:18:43.000Z,Fri Jun 02 13:18:43 +0000 2023,7965,421,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664622364452089857,@ChoooCole Fixed,Elon Musk,elonmusk,2023-06-02T13:17:53.000Z,Fri Jun 02 13:17:53 +0000 2023,4309,204,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664621389595148290,@jordanbpeterson Countries should make their own decisions and not rely on UN bodies like WHO,Elon Musk,elonmusk,2023-06-02T13:14:01.000Z,Fri Jun 02 13:14:01 +0000 2023,27638,4249,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664620970382901249,@jordanbpeterson Absolutely,Elon Musk,elonmusk,2023-06-02T13:12:21.000Z,Fri Jun 02 13:12:21 +0000 2023,7864,387,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664618300041469952,@charliekirk11 Won’t be long before there are class-action lawsuits by shareholders against the company and board of directors for destruction of shareholder value,Elon Musk,elonmusk,2023-06-02T13:01:44.000Z,Fri Jun 02 13:01:44 +0000 2023,41891,4114,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664617261557055490,@FilmLadd @MattWalshBlog Director related,Elon Musk,elonmusk,2023-06-02T12:57:36.000Z,Fri Jun 02 12:57:36 +0000 2023,5941,304,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,2,,,,,
1664616947235840003,@EndWokeness Not complicated at all,Elon Musk,elonmusk,2023-06-02T12:56:21.000Z,Fri Jun 02 12:56:21 +0000 2023,22256,973,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664616792096927747,@MarioNawfal !,Elon Musk,elonmusk,2023-06-02T12:55:44.000Z,Fri Jun 02 12:55:44 +0000 2023,2112,129,qam,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664614843297439744,"Consenting adults should do whatever makes them happy, provided it does not harm others, but a child is not capable of consent, which is why we have laws protecting minors.",Elon Musk,elonmusk,2023-06-02T12:48:00.000Z,Fri Jun 02 12:48:00 +0000 2023,151327,20188,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,0,,,,,
1664613197452591107,@BasedBeffJezos ????,Elon Musk,elonmusk,2023-06-02T12:41:27.000Z,Fri Jun 02 12:41:27 +0000 2023,1077,62,qme,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664611949517193219,"RT @SpaceX : Three years ago this week we launched our first human spaceflight mission to orbit. 

Thank you to @NASA, @inspiration4x, @Axiom_Space, and the 38 astronauts from all around the world for flying SpaceX! https://t.co/LKpmxGF2Vn",Elon Musk,elonmusk,2023-06-02T12:36:30.000Z,Fri Jun 02 12:36:30 +0000 2023,0,0,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Retweet,,0,3,video,https://video.twimg.com/ext_tw_video/1663942314115624961/pu/vid/640x360/xaQAToj3rdwq2Mx_.mp4?tag=14,,,
1664610007369875458,Insane https://t.co/y1cz26vCzK,Elon Musk,elonmusk,2023-06-02T12:28:47.000Z,Fri Jun 02 12:28:47 +0000 2023,110153,21474,tr,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Tweet,https://twitter.com/alx/status/1664609668927242241 ,0,0,,,,,
1664609853778673666,@MattWalshBlog Works now. Only limit is that it will not be placed next to advertising.,Elon Musk,elonmusk,2023-06-02T12:28:10.000Z,Fri Jun 02 12:28:10 +0000 2023,8734,532,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664609541906939908,@Timcast I am on team humanity,Elon Musk,elonmusk,2023-06-02T12:26:56.000Z,Fri Jun 02 12:26:56 +0000 2023,36486,2683,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
